ProfessorID,Title
3,"1-Khalesi Z, Dehghani M, Vafamand N ""Insulin dosage control of time-delayed type-1 diabetes "" چاپ اول (2020/12) Elsevier Academic Press"
3,
4,"1-Zaker B ""Advances in Renewable Energies and Power Quality "" چاپ اول (2020/2) Cambridge Scholars Publishing United Kingdom"
4,
4,"2-Gharehpetian G, Yazdani A, Zaker B ""Power System Transients: Modelling, Simulation and Applications "" چاپ اول (2023/4) CRC Press-Taylor & Francis Group USA"
4,
13,"1-Alighanbari A ""High-Order FDTD Numerical Electromagnetic Schemes For Large-Scale Propagation and Device Modeling Problems "" چاپ اول (1392/3) Lambert Academic Publishing آلمان"
13,
15,"1-Sadeghian A, Mendel J, Tahayori H ""Advances in Fuzzy Sets of Type-2: Theory and Applications "" چاپ اول (2013/5) Springer USA- New York"
15,
15,"2-Sadeghian A, Tahayori H ""Frontiers of Higher Order Fuzzy Sets "" چاپ اول (2015/1) Springer New York"
15,
15,"3- Mazzocut-Mis M, Visconti A, Tahayori H, Ceria M ""Imagine Math 7 - Sublime Experience: New Strategies for Measuring the Aesthetic Impact of the Sublime "" چاپ اول (2020/11) Springer Switzerland"
15,
16,"1-Siamak S, Mansoori E ""Intelligent Multimedia Processing and Computer Vision: Techniques and applications "" چاپ اول (2023/12) The Institution of Engineering and Technology London, United Kingdom"
16,
18,
18,
18,
18,
18,"1-Hu X, Naiel M, Azimifar Z, Lamm M, Fieguth P, Ben DAYA I ""DEVICE , SYSTEM AND METHOD FOR ENHANCING ONE OR MORE OF HIGH CONTRAST REGIONS AND TEXT REGIONS IN PROJECTED IMAGES """
18,
19,"1-Taheri M, Chitsaz E, Katebi S, Zolghadri Jahromi M ""Advances in Computer Science and Engineering: A Novel Piecewise Linear Clustering Technique Based on Hyper Plane Adjustment "" چاپ اول (2009/0) Springer Springer"
19,
19,"2-Chitsaz E, Taheri M, Katebi S ""Lecture Notes in Electrical Engineering: Feature Selection of Gene Expression Data Based on Fuzzy Attribute Clustering "" چاپ اول (2009/0) Springer Springer"
19,
19,"3-Abazar M, Masjedi P, Ghorbani A, Taheri M, Fakhrahmad S ""Advanced Security Solutions for Multimedia (Chapter5: An analysis of deep steganography and steganalysis) "" چاپ اول (2021/9) IOP United Kingdom"
19,
22,"1-Ghavami B, Raji M ""Soft Error Reliability of VLSI Circuits "" چاپ اول (2021/1) Springer Springer Nature Switzerland AG"
22,
22,"2-Raji M, Ghavami B ""Lifetime Reliability-aware Design of Integrated Circuits "" چاپ اول (2022/9) Springer Springer Nature Switzerland AG"
22,
24,
25,
31,
31,
31,
31,
31,
35,
37,
38,
40,
41,"1-Richardson K, Doerr V, Ebrahimi M, Parker K ""Considering dispersal in reintroduction and restoration planning in Advances in Reintroduction Biology of Australian and New Zealand Fauna "" چاپ اول (2015/5) CSIRO Publishing Australia "
41,
42,
42,
42,
42,
42,
43,
44,"1-Eslahi H, Fahimi N, Sardarian A ""Essential Oils in Food Processing: Chemistry, Safety and Applications "" چاپ اول (2017/12) Wiley-Blackwell Brazil"
44,
44,
44,
44,
44,"1-Sardarian A ""Solvents & Partners DNA Exciplexes """
44,
44,"2-Sardarian A ""Exciplexes in Water/pH Trigger """
44,
45,"1-Mohajeri A "" Book Chapter: From Subnanometric Clusters toward Single-Atom Catalysts in Advanced Heterogeneous Catalysts Volume 2: Applications at the Single-Atom Scale "" چاپ اول (2020/11) American Chemical Society USA"
45,
49,
52,
56,"1-Shahrokhnia M, Ahmadi S ""Remotely Sensed Spatial and Temporal Variations of Vegetation Indices Subjected to Rainfall Amount and Distribution Properties. In: Spatial Modeling in GIS and R for Earth and Environmental Science "" چاپ اول (2018/10) Elsevier Netherlands"
56,
57,
58,
59,"1-Naghdyzadegan Jahromi M, Zand-Parsa S, Doosthosseini A, Razzaghi F, Jamshidi S ""Enhancing Vegetation Indices from Sentinel-2 Using Multispectral UAV Data, Google Earth Engine and Machine Learning "" چاپ اول (2022/7) Springer Singapore"
59,
60,"1-Forouzani M, Karami E, Zibaei M, Zamani G ""Farming for Food and Water Security, Sustainable "" چاپ اول (2012/0) springer لندن"
60,
61,"1-Shokoohi Z, Tarazkar M, Polat ""world fig market "" چاپ اول (2022/1) CABI USA"
61,
62,"1-Fathi F, Valizadeh N, Esfandiyari Bayat S, Bazrafkan K ""Chapter 11 Policy Framework to Introduce Climate-Smart Agriculture "" چاپ اول (2023/5) Springer Switzerland"
62,
63,"1-Shokoohi Z, Asgari M ""World Pomegranate Market "" چاپ اول (2020/11) CABI UK"
63,
63,"2-Shokoohi Z, Tarazkar M, Polat ""world fig market "" چاپ اول (2022/1) CABI USA"
63,
64,"1-Zare D ""Technical English for the Student of Agricultural Machinery "" چاپ اول (1390/10) انتشارات نويد شيراز شيراز_ايران"
64,
64,"2-Zare D, رنجبران , Niakousari M, جاويدي ""TECHNOLOGY AND MANAGEMENT TO ENSURE SUSTAINABLE AGRICULTURE, AGRO SYSTEMS, FORESTRY AND SAFETY- Thin Layer Drying and Equilibrium Moisture Content Equations for Canola "" (2009/6) DISTAFA ايتاليا"
64,
64,"3-Zare D, Niakousari M, Rezaee K ""TECHNOLOGY AND MANAGEMENT TO ENSURE SUSTAINABLE AGRICULTURE, AGRO SYSTEMS, FORESTRY AND SAFETY- Modeling the Kinetics of Thin Layer Drying of Pomegranate Seeds "" (2009/6) DISTAFA ايتاليا"
64,
64,"4-Chen G, Maraseni T, Bundschuh J, Zare D ""Encyclopedia of Energy Engineering and Technology Chapter in Book, Agriculture: Alternative Energy Sources "" چاپ دوم (2007/3) Taylor & Francis USA"
64,
64,
64,
64,
64,
65,
66,
66,
66,
66,
66,
67,"1-Mozaffari H, Moosavi S, Nematollahi M, Ostovari Y ""Potential of Spectroscopy-Based Approaches for Predicting Soil Erosion-Related Parameters: A Short Review "" چاپ اول (2024/8) Elsevier Netherlands"
67,
68,"1-Nassiri S ""Optimum use of energy in agricultural production systems (wheat and paddy fields) "" چاپ اول (2010/7) انتشارات لامبرت آلمان"
68,
68,
68,
68,
68,
69,"1-Kornejady A, Pourghasemi H, Afzali S ""Landslides: Theory, Practice and Modelling "" چاپ اول (2018/7) Springer Springer International Publishing AG, part of Springer Nature"
69,
69,"2-Afzali S, Hemmati A, Yousefi S ""Environmental Planning and Management "" چاپ اول (2019/1) Cambridge Scholars Publishing انگلستان"
69,
69,"3-Amindin A, کريمي نژاد , Afzali S, Panahi M, Pourghasemi H ""Mapping land subsidence using time-series analysis of Sentinel-1 InSAR in various land use areas "" چاپ اول (2024/8) elsevier Netherlands"
69,
69,
69,
69,
69,
70,
70,
70,
70,
70,
72,"1-Amiri M, Pourghasemi H, Arab Ameri A, Vazirzadeh A, Yousefi H, Kafaei S ""Prioritization of Flood Inundation of Maharloo Watershed in Iran Using Morphometric Parameters Analysis and TOPSIS MCDM Model "" چاپ اول (2018/9) Elsevier Netherlands"
72,
72,
72,
72,
72,
74,"1-Ghavanloo E, Rafii tabar H, Fazelzadeh S ""Computational Continuum Mechanics of Nanoscopic Structures "" چاپ اول (2019/3) Springer Germany"
74,
74,"2-Failla G, Ghavanloo E ""Size-Dependent Continuum Mechanics Approaches: Theory and Application: Chapter 14: Nonlocal Approaches to the Dynamics of Metamaterials "" چاپ اول (2021/4) Springer Switzerland"
74,
74,"3-Maneshi M, Ghavanloo E, Fazelzadeh S ""Size-Dependent Continuum Mechanics Approaches: Theory and Application: Chapter 5: One-Dimensional Well-Posed Nonlocal Elasticity Models for Finite Domains "" چاپ اول (2021/4) Springer Switzerland"
74,
74,"4-Shaat M, Ghavanloo E ""Size-Dependent Continuum Mechanics Approaches: Theory and Application: Chapter 3: Nonlocal Mechanics in the Framework of the General Nonlocal Theory "" چاپ اول (2021/4) Springer Switzerland"
74,
74,"5-Ghavanloo E, Fazelzadeh S, Marotti de Sciarra F ""Size-Dependent Continuum Mechanics Approaches "" چاپ اول (2021/4) Springer Switzerland "
74,
74,"6-Giannopoulos G, Georgantzinos S, Ghavanloo E ""Comprehensive Computational Chemistry: Exploiting the Mechanical Behavior and Potentials of Graphyne Based Clusters via Atomistic Simulations "" چاپ اول (2023/10) Elsevier Netherlands"
74,
74,
74,
74,
74,
75,"1-Faridi P, Vatankhah R, شريفي ""Integral Sliding Mode Control of Immune Response for Kidney Transplantation "" چاپ اول (2021/2) Academic Press, Elsevier United Kingdom"
75,
75,"2-Khodaeimehr J, Tangestani zade S, Sharifi M, Vatankhah R, Eghtesad M ""Hepatitis C Virus Epidemic Control Using a Nonlinear Adaptive Strategy "" چاپ اول (2021/2) Academic Press, Elsevier United Kingdom"
75,
75,"3-جوکار , Mahzoon M, Vatankhah R ""Wind Turbines Aerodynamic and Blade Design "" چاپ اول (2024/8) Elsevier Encyclopedia of Renewable Energy, Sustainability and the Environment"
75,
75,
75,
75,
75,
80,"1-Rahimpour M, Kamali R, Makarem M, Dehghan Manshadi M ""Advances in Bioenergy and Microfluidic Applications "" چاپ اول (2021/2) Elsevier Netherlands"
80,
80,"2-Rahimpour M, Kamali R, Makarem M, Dehghan Manshadi M ""Advances in Bioenergy and Microfuidic Applications "" چاپ اول (2021/2) Elsevier United Kingdom"
80,
81,
83,"1-Mortazavi S, Bevelacqua J, Rafiepour P, Sina S, Moradgholi J, Mortazavi A, S Velsh J "" Advanced Radiation Shielding Materials (Chapter 13) - Lead-free, multilayered, and nanosized radiation shields in medical applications, industrial, and space research "" چاپ اول (2024/1) elsevier Elsevier"
83,
83,
83,
83,
83,
84,
85,
86,
87,
88,"1-Vaezi S ""la Constitution et la competence du juge administratif "" چاپ اول (2014/11) presses academiques francophones فرانسه"
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
