ProfessorID,FirstName,LastName,Department
1,Mohammad Hasan,Asemani,
2,Mehdi,Allahbakhshi,
3,,,Maryam
4,Behrooz,Zaker,
5,Mahmood,Karimi,
6,Alireza,Yahaghi,
7,Hossein,Pakniat,
8,Navid,Yasrebi,
9,Mehdi,Miri,
10,Hooman,Bahman Soltani,
11,Mahmoud,Farhang,
12,Alireza,Keshavarz-Haddad,
13,Abbas,Alighanbari,
14,Ashkan,Sami,
15,,Hooman,Tahayori
16,Eghbal,Mansoori,
17,Ali,Hamzeh,
18,Zohreh,Azimifar,
19,Mohammad,Taheri,
20,Morteza,Keshtkaran,
21,Farshad,Khunjush,
22,Mohsen,Raji,
23,Mohammad Reza,Moosavi,
24,Sattar,Hashemi,
25,Ali Reza,Nematollahi,
26,Kavoos,Khorshidian,
27,Tahere,Manouchehri,
28,Mahmood,Kharrati-Kopaei,
29,Somayeh,Zarezadeh,
30,Atefeh,Zamani,
31,Hamid,Nadgaran,
32,Afshin,Montakhab,
33,Hossein,Moeini,
34,Mansour,Haghighat,
35,Mehdi,Zarei,
36,Behnam,Keshavarzi,Earth Sciences
37,Ali,Faghih,Earth Sciences
38,Amir,Karimian Torghabeh,Earth Sciences
39,Iraj,Saadat,Biology
40,Aminollah,Bahaoddini,Biology
41,Mehregan,Ebrahimi,Biology
42,Hamid Reza,Esmaeili,Biology
43,Navid,Mogharrab,Biology
44,Alireza,Sardarian,Chemistry
45,Afshan,Mohajeri,Chemistry
46,soheila,Ghasemi,Chemistry
47,Javad,Tashkhourian,Chemistry
48,Farhad,Panahi,Chemistry
49,Habib,Sharif,
50,Farshid,Abdollahi,Mathematics
51,Seyyed Morteza,Mirdehghan,Mathematics
52,Bahman,Ahmadi,1983
53,Amir,Peyravi,Mathematics
54,Faramarz,Tahamtani,Mathematics
55,Afshin,Amini,Mathematics
56,Seyed Hamid,Ahmadi,Water Engineering
57,Tooraj,Honar,Water Engineering
58,Foroogh,Golkar,Water Engineering
59,Shahrokh,Zand-Parsa,Water Engineering
60,,,
61,Mohammad Hassan,Tarazkar,Agricultural Economics
62,Fatemeh,Fathi,Agricultural Economics
63,Zeinab,Shokoohi,Agricultural Economics
64,Dariush,Zare,Biosystems Engineering
65,Mehdi,Moradi,Biosystems Engineering
66,Mahdi,Keramat-Jahromi,Biosystems Engineering
67,Mohammad Amin,Nematollahi,Biosystems Engineering
68,Seyed Mehdi,Nassiri,Biosystems Engineering
69,Sayed Fakhreddin,Afzali,Natural Resources and Environmental Engineering
70,Hossein,Sadeghi,Natural Resources and Environmental Engineering
71,Mahmood,Naseri,Natural Resources and Environmental Engineering
72,Arya,Vazirzadeh,Natural Resources and Environmental Engineering
73,Sajjad,Taghvaei,Solid Mechanics Engineering
74,Esmaeal,Ghavanloo,Solid Mechanics Engineering
75,Ramin,Vatankhah,Solid Mechanics Engineering
76,Hossein,Mohammadi,Solid Mechanics Engineering
77,Mohammad Rahim,Nami,Solid Mechanics Engineering
78,Ebrahim,Goshtasbi Rad,Thermo Fluid Engineering
79,Hossein Ali,Pakravan,Thermo Fluid Engineering
80,Reza,Kamali,Thermo Fluid Engineering
81,Ahmad,Pirouzmand,Nuclear Engineering
82,ataollah,Rabiee,Nuclear Engineering
83,Sedigheh,Sina,Nuclear Engineering
84,mehdi,Zehtabian,Nuclear Engineering
85,Mohammadreza,Mohammadian-Behbahani,Nuclear Engineering
86,Mohammad,Jamali,Law
87,,,
88,Sid Mojtaba,Vaezi,Public Law
89,Ali,Rezaee,Islamic and Private Law
90,,,
91,Hojjat,Mobayen,Islamic and Private Law
92,Habib,Talebahmadi,Islamic and Private Law
93,Mahdi,Naderi,Political Sciences
94,Ehsan,Yari,Political Sciences
95,Fariborz,Arghavani Pirsalami,Political Sciences
96,Shahram,Ebrahimi,Criminal Law and Criminology
97,,,
98,Mohammad Hadi,Sadeghi,Criminal Law and Criminology
99,Fazollah,Fooroghi,Criminal Law and Criminology
